Net Status Report
Filename     : C:\Users\lance\Dropbox\Volt\hpbicontroller-rev1-0-2014-02-22\ControllerRevB\HPBIController.PcbDoc
Date         : 10/3/2019
Time         : 3:16:19 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    1.0V, Signal Layers Only, 70.2796mm
    1.25VREF, Signal Layers Only, 8.7623mm
    1.2V, Signal Layers Only, 31.5164mm
    1.5V, Signal Layers Only, 114.6029mm
    1.8V, Signal Layers Only, 89.5455mm
    1.8VADC, Signal Layers Only, 7.3317mm
    1.8VPLL, Signal Layers Only, 3.7769mm
    12VIN, Signal Layers Only, 1.2854mm
    12VIN_HDR, Signal Layers Only, 46.5623mm
    3.0VREF, Signal Layers Only, 14.8341mm
    3.3V, Signal Layers Only, 207.6621mm
    3.3V_AVDDH, Signal Layers Only, 15.6632mm
    4.096VREF, Signal Layers Only, 37.9219mm
    5V, Signal Layers Only, 41.5041mm
    AD00_N, Signal Layers Only, 44.7577mm
    AD00_P, Signal Layers Only, 42.4957mm
    AD01_N, Signal Layers Only, 36.3017mm
    AD01_P, Signal Layers Only, 36.6519mm
    AD02_N, Signal Layers Only, 34.8897mm
    AD02_P, Signal Layers Only, 35.1491mm
    AD03_N, Signal Layers Only, 34.0436mm
    AD03_P, Signal Layers Only, 35.4214mm
    AD04_N, Signal Layers Only, 34.7576mm
    AD04_P, Signal Layers Only, 35.0051mm
    AD05_N, Signal Layers Only, 34.5308mm
    AD05_P, Signal Layers Only, 34.3005mm
    AD06_N, Signal Layers Only, 42.5497mm
    AD06_P, Signal Layers Only, 41.9814mm
    AD07_N, Signal Layers Only, 35.6745mm
    AD07_P, Signal Layers Only, 36.7729mm
    AD08_N, Signal Layers Only, 29.9193mm
    AD08_P, Signal Layers Only, 31.4835mm
    AD09_N, Signal Layers Only, 38.0305mm
    AD09_P, Signal Layers Only, 37.291mm
    AD10_N, Signal Layers Only, 36.3963mm
    AD10_P, Signal Layers Only, 37.7472mm
    AD11_N, Signal Layers Only, 34.0204mm
    AD11_P, Signal Layers Only, 33.6917mm
    AD12_N, Signal Layers Only, 34.2096mm
    AD12_P, Signal Layers Only, 35.8505mm
    AD13_N, Signal Layers Only, 31.3645mm
    AD13_P, Signal Layers Only, 32.0048mm
    AD14_N, Signal Layers Only, 38.6392mm
    AD14_P, Signal Layers Only, 39.7477mm
    AD15_N, Signal Layers Only, 35.3376mm
