Altium Designer Pick and Place Locations
C:\Users\lance\Dropbox\Volt\hpbicontroller-rev1-0-2014-02-22\QDS9416_LIB_ControllerRevC_ALTIUM\Pick Place for HPBIController-1.txt

========================================================================================================================
File Design Information:

Date:       10/10/19
Time:       07:36
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                  Layer       Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                                                          
R72        *                        BottomLayer RESC1005X33N               1293.392      1261.921      90       "Resistor, 20k0, 1/16W, 1%, -50 to +155 C, EIA0402, EIA(M)1005"                                      
R76        *                        TopLayer    0402                       1312.228      2255.516      90       "Resistor, 20k0, 1/16W, 1%, -50 to +155 C, EIA0402, EIA(M)1005"                                      
R74        *                        TopLayer    0402                       1202.000      1257.000      180      "Resistor, 20k0, 1/16W, 1%, -50 to +155 C, EIA0402, EIA(M)1005"                                      
R73        *                        TopLayer    0402                       1356.181      2255.516      90       "Resistor, 20k0, 1/16W, 1%, -50 to +155 C, EIA0402, EIA(M)1005"                                      
R71        *                        TopLayer    0402                       1402.581      1294.921      360      "Resistor, 20k0, 1/16W, 1%, -50 to +155 C, EIA0402, EIA(M)1005"                                      
R70        *                        TopLayer    0402                       1122.000      1281.000      270      "Resistor, 20k0, 1/16W, 1%, -50 to +155 C, EIA0402, EIA(M)1005"                                      
JP2        JP_HDR3x1_DEF1           TopLayer    3PIN_HEADER                1204.724      2281.706      90       "Jumper Header .100'', 3-pin, Default position 1-2, TH"                                              
C64        CAPACITOR_NP_TYPE1       TopLayer    CAPC0603X33N               244.095       1903.543      180      "Capacitor ceramic, X5R, 0.1uF, 6.3V, 10%, -55 to +125 C, EIA0201"                                   
C273       CAPACITOR_NP_TYPE1       BottomLayer CAPC1608X38N               2665.354      2659.449      180      "Capacitor ceramic, X7R, 0.1uF, 100V, 10%, -55 to +125 C, EIA0603"                                   
C272       CAPACITOR_NP_TYPE1       BottomLayer CAPC1608X38N               2763.780      2820.866      90       "Capacitor ceramic, X7R, 0.1uF, 100V, 10%, -55 to +125 C, EIA0603"                                   
C271       CAPACITOR_NP_TYPE1       BottomLayer CAPC1608X38N               2665.354      2789.370      180      "Capacitor ceramic, X7R, 0.1uF, 100V, 10%, -55 to +125 C, EIA0603"                                   
C270       CAPACITOR_NP_TYPE1       BottomLayer CAPC1608X38N               2909.449      2789.370      360      "Capacitor ceramic, X7R, 0.1uF, 100V, 10%, -55 to +125 C, EIA0603"                                   
C269       CAPACITOR_NP_TYPE1       BottomLayer CAPC1608X38N               2909.449      2722.441      360      "Capacitor ceramic, X7R, 0.1uF, 100V, 10%, -55 to +125 C, EIA0603"                                   
C268       CAPACITOR_NP_TYPE1       BottomLayer CAPC1608X38N               2909.449      2659.449      360      "Capacitor ceramic, X7R, 0.1uF, 100V, 10%, -55 to +125 C, EIA0603"                                   
C267       CAPACITOR_NP_TYPE1       BottomLayer CAPC1608X38N               2570.866      2403.543      90       "Capacitor ceramic, X7R, 0.1uF, 100V, 10%, -55 to +125 C, EIA0603"                                   
C266       CAPACITOR_NP_TYPE1       BottomLayer CAPC1608X38N               2413.386      2309.055      180      "Capacitor ceramic, X7R, 0.1uF, 100V, 10%, -55 to +125 C, EIA0603"                                   
C265       CAPACITOR_NP_TYPE1       BottomLayer CAPC1608X38N               2413.386      2242.126      180      "Capacitor ceramic, X7R, 0.1uF, 100V, 10%, -55 to +125 C, EIA0603"                                   
C264       CAPACITOR_NP_TYPE1       BottomLayer CAPC1608X38N               2602.362      2309.055      360      "Capacitor ceramic, X7R, 0.1uF, 100V, 10%, -55 to +125 C, EIA0603"                                   
C263       CAPACITOR_NP_TYPE1       BottomLayer CAPC1608X38N               2602.362      2242.126      360      "Capacitor ceramic, X7R, 0.1uF, 100V, 10%, -55 to +125 C, EIA0603"                                   
C262       CAPACITOR_NP_TYPE1       BottomLayer CAPC1608X38N               2602.362      2167.323      360      "Capacitor ceramic, X7R, 0.1uF, 100V, 10%, -55 to +125 C, EIA0603"                                   
U1         XC7Z020-1CLG484C         TopLayer    CLG484                     1649.606      883.858       360      "667 MHz Zynq™-7000 AP SoC, 130 PS I/O, 200 FPGA I/O, 484-Ball BGA, Speed Grade 1, Commercial Grade" 
C260       CAPACITOR_NP_TYPE1       BottomLayer CAPC1005X55N               1586.614      1025.591      90       "Capacitor ceramic, X5R, 0.47uF, 10V, 10%, -55 to +85 C, EIA0402"                                    
TP45       TEST_POINT_TYPE4         TopLayer    KEY_5004                   2594.488      1155.512      360      "Test point bead, yellow, Keystone Electronics, Thru-hole,"                                          
TP44       TEST_POINT_TYPE4         TopLayer    KEY_5004                   2594.488      1045.276      360      "Test point bead, yellow, Keystone Electronics, Thru-hole,"                                          
TP43       TEST_POINT_TYPE4         TopLayer    KEY_5004                   2594.488      935.039       360      "Test point bead, yellow, Keystone Electronics, Thru-hole,"                                          
TP42       TEST_POINT_TYPE4         TopLayer    KEY_5004                   2594.488      824.803       360      "Test point bead, yellow, Keystone Electronics, Thru-hole,"                                          
TP41       TEST_POINT_TYPE4         TopLayer    KEY_5004                   2594.488      714.567       360      "Test point bead, yellow, Keystone Electronics, Thru-hole,"                                          
TP40       TEST_POINT_TYPE4         TopLayer    KEY_5004                   2594.488      604.331       360      "Test point bead, yellow, Keystone Electronics, Thru-hole,"                                          
TP39       TEST_POINT_TYPE4         TopLayer    KEY_5004                   2594.488      494.094       360      "Test point bead, yellow, Keystone Electronics, Thru-hole,"                                          
TP38       TEST_POINT_TYPE4         TopLayer    KEY_5004                   2594.488      383.858       360      "Test point bead, yellow, Keystone Electronics, Thru-hole,"                                          
TP37       TEST_POINT_TYPE4         TopLayer    KEY_5004                   2594.488      273.622       360      "Test point bead, yellow, Keystone Electronics, Thru-hole,"                                          
TP36       TEST_POINT_TYPE4         TopLayer    KEY_5004                   2594.488      163.386       360      "Test point bead, yellow, Keystone Electronics, Thru-hole,"                                          
