Altium Designer Pick and Place Locations
C:\Git\op009-hpbi-controller\.\Generated\Pick Place\Pick Place for HPBIController.txt

========================================================================================================================
File Design Information:

Date:       08-07-20
Time:       21:50
Revision:   94e45138bb8a29ad528f251e0291e0c07c2326b4
Variant:    No variations
Units used: mil

Designator Comment                  Layer       Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                                                          
JP2        JP_HDR3x1_DEF1           TopLayer    JMPR3P254_SHUNT12          3153.543      3401.785      90       "Jumper Header 100mil, 3-pin, Default position 1-2, TH"                                              
R70        Comment_1                TopLayer    RESC1005X33N               3070.000      2400.000      270      "Resistor, 20k0, 1%, 1/16W, 0402"                                                                    
R71        Comment_1                TopLayer    RESC1005X33N               3025.000      2400.000      270      "Resistor, 20k0, 1%, 1/16W, 0402"                                                                    
R73        Comment_1                TopLayer    RESC1005X33N               3305.000      3380.595      90       "Resistor, 20k0, 1%, 1/16W, 0402"                                                                    
R74        Comment_1                TopLayer    RESC1005X33N               3150.819      2377.079      180      "Resistor, 20k0, 1%, 1/16W, 0402"                                                                    
R76        Comment_1                TopLayer    RESC1005X33N               3261.047      3380.595      90       "Resistor, 20k0, 1%, 1/16W, 0402"                                                                    
R72        Comment_1                BottomLayer RESC1005X33N               3242.210      2382.000      90       "Resistor, 20k0, 1%, 1/16W, 0402"                                                                    
Q2         TRANS_MOSFET_N-CH_TYPE2  TopLayer    TO228P1041X238-3N          4448.819      3514.705      270      "Transistor MOSFET, N-Channel, TO-252, 60V, 24A, 40W, TO-263"                                        
Q3         TRANS_MOSFET_N-CH_TYPE2  TopLayer    TO228P1041X238-3N          4611.279      3842.520      360      "Transistor MOSFET, N-Channel, TO-252, 60V, 24A, 40W, TO-263"                                        
J2         CON_RJ45_MAG_TYPE_9      TopLayer    L834-1G1T-S7               1465.000      3653.456      180      "Connector RJ45, 10/100/1000, with Mag & 2 LED G/G, Tab down"                                        
D1         DIODE_SCHOTTKY_TYPE1     TopLayer    SOD15080X70                3409.449      3295.276      270      "Diode schottky, 30V, 200mA, SOD-523F"                                                               
R135       ""                       TopLayer    RESC1005X33N               4023.624      3007.863      360      "Resistor, 4k7, 1/16W, 1%, -55 to +155 C, EIA0402"                                                   
R134       ""                       TopLayer    RESC1005X33N               4023.624      3051.171      360      "Resistor, 4k7, 1/16W, 1%, -55 to +155 C, EIA0402"                                                   
R133       ""                       TopLayer    RESC1005X33N               4023.622      3133.858      360      "Resistor, 4k7, 1/16W, 1%, -55 to +155 C, EIA0402"                                                   
R132       ""                       TopLayer    RESC1005X33N               4023.622      3094.488      360      "Resistor, 4k7, 1/16W, 1%, -55 to +155 C, EIA0402"                                                   
R131       Comment_1                BottomLayer RESC1005X33N               3807.087      2669.291      90       "Resistor, 49R9, 1%, 1/16W, 0402, 0402"                                                              
C63        CAPACITOR_NP_TYPE1       TopLayer    CAPC0603X33N               2448.819      3291.339      90       "Capacitor ceramic, X5R, 0.1uF, 6.3V, 10%, -55 to +125 C, EIA0201"                                   
R130       ""                       TopLayer    RESC1005X33N               4669.291      2838.583      270      "Resistor, 1k24, 1/16W, 0.1%, -50 to +155 C, EIA0402, EIA(M)1005"                                    
R129       ""                       TopLayer    RESC1005X33N               3708.661      3279.528      90       "Resistor, 4k99, 1/16W, 1%, -50 to +155 C, EIA0402, EIA(M)1005"                                      
J6         SD_MICRO_DET1            TopLayer    47571-0001                 3776.083      3464.764      360      "MicroSD Card Header with Detect, 9 pin, RA, 1.10 mm, SMT, -40 to +85C"                              
R128       ""                       TopLayer    RESC1005X33N               2094.488      3803.150      270      "Resistor, 10k0, 1/16W, 0.1%, -50 to +155 C, EIA0402"                                                
U4         TPS51206                 TopLayer    DFN40P200X200X75-11N       2244.095      2618.110      180      "DDR Termination Regulator, -40 to +85 C"                                                            
C129       CAPACITOR_NP_TYPE1       BottomLayer CAPC1005X55N               3677.165      1972.441      360      "Capacitor ceramic, X5R, 0.47uF, 10V, 10%, -55 to +85 C, EIA0402"                                    
JP1        JP_HDR3x1_DEF1           TopLayer    JMPR3P254_SHUNT12          3000.000      3400.000      90       "Jumper Header .100'', 3-pin, Default position 1-2, TH"                                              
U23        LM4132                   TopLayer    SOT65P280X145-5AN          4346.457      2267.716      270      "Reference 4.096V low dropout, 20mA, 10ppm, 0.05%"                                                   
R99        ""                       TopLayer    RESC1005X33N               4114.173      3090.551      270      "Resistor, 1k00, 1/16W, 1%, -55 to +155 C, EIA0402"                                                  
D5         DIODE_TYPE3              TopLayer    SOT65P210X110-3N           4212.598      3114.173      90       "Reference Shunt 3.0V, 3-lead SC70"                                                                  
C221       CAPACITOR_NP_TYPE1       TopLayer    CAPC1608X38N               4236.221      2267.716      90       "Capacitor ceramic, X5R, 10uF, 10V, 10%, -55 to +85 C, EIA0603"                                      
U20        SC202AMLTRT              TopLayer    QFN40P250X300X90-13N       2061.091      2039.421      270      "Regulator Step-down, 13-pin, 0.8V to 3.3V, 500mA, SMT, -40 to +85C, MLPQ-13"                        
U19        SC202AMLTRT              TopLayer    QFN40P250X300X90-13N       1667.390      2039.421      270      "Regulator Step-down, 13-pin, 0.8V to 3.3V, 500mA, SMT, -40 to +85C, MLPQ-13"                        
U18        SC202AMLTRT              TopLayer    QFN40P250X300X90-13N       1667.390      1409.500      270      "Regulator Step-down, 13-pin, 0.8V to 3.3V, 500mA, SMT, -40 to +85C, MLPQ-13"                        
U17        MAX14661                 TopLayer    QFN40P400X400X75-29N       2078.740      1511.811      360      "Analog MUX, 16 to 2, BiCMOS"                                                                        
U16        SC202AMLTRT              TopLayer    QFN40P250X300X90-13N       1667.390      1724.460      270      "Regulator Step-down, 13-pin, 0.8V to 3.3V, 500mA, SMT, -40 to +85C, MLPQ-13"                        
U14        TLV62130RGT              TopLayer    QFN50P300X300X100-17N      1251.968      1263.780      270      "Step-Down Converter with DCS-Control, 4-17V 3A, 16QFN"                                              
R98        ""                       TopLayer    RESC1005X33N               4858.268      1978.347      180      "Resistor, 10R0, 1/20W, 1%, -50 to +155 C, EIA0201, EIA(M)0603"                                      
R97        ""                       TopLayer    RESC1005X33N               4858.268      1938.976      180      "Resistor, 10R0, 1/20W, 1%, -50 to +155 C, EIA0201, EIA(M)0603"                                      
R96        ""                       TopLayer    RESC1005X33N               4858.268      2746.063      180      "Resistor, 10R0, 1/20W, 1%, -50 to +155 C, EIA0201, EIA(M)0603"                                      
R95        ""                       TopLayer    RESC1005X33N               4858.268      2706.693      180      "Resistor, 10R0, 1/20W, 1%, -50 to +155 C, EIA0201, EIA(M)0603"                                      
R94        ""                       TopLayer    RESC1005X33N               4858.268      2667.323      180      "Resistor, 10R0, 1/20W, 1%, -50 to +155 C, EIA0201, EIA(M)0603"                                      
R93        ""                       TopLayer    RESC1005X33N               4858.268      2627.953      180      "Resistor, 10R0, 1/20W, 1%, -50 to +155 C, EIA0201, EIA(M)0603"                                      
R92        ""                       TopLayer    RESC1005X33N               4858.268      2470.472      180      "Resistor, 10R0, 1/20W, 1%, -50 to +155 C, EIA0201, EIA(M)0603"                                      
R91        ""                       TopLayer    RESC1005X33N               4858.268      2588.583      180      "Resistor, 10R0, 1/20W, 1%, -50 to +155 C, EIA0201, EIA(M)0603"                                      
R90        ""                       TopLayer    RESC1005X33N               4858.268      2431.102      180      "Resistor, 10R0, 1/20W, 1%, -50 to +155 C, EIA0201, EIA(M)0603"                                      
R89        ""                       TopLayer    RESC1005X33N               4858.268      2549.213      180      "Resistor, 10R0, 1/20W, 1%, -50 to +155 C, EIA0201, EIA(M)0603"                                      
R88        ""                       TopLayer    RESC1005X33N               4858.268      2391.732      180      "Resistor, 10R0, 1/20W, 1%, -50 to +155 C, EIA0201, EIA(M)0603"                                      
R87        ""                       TopLayer    RESC1005X33N               4858.268      2509.842      180      "Resistor, 10R0, 1/20W, 1%, -50 to +155 C, EIA0201, EIA(M)0603"                                      
R86        ""                       TopLayer    RESC1005X33N               4858.268      2352.362      180      "Resistor, 10R0, 1/20W, 1%, -50 to +155 C, EIA0201, EIA(M)0603"                                      
R85        ""                       TopLayer    RESC1005X33N               4858.268      2312.992      180      "Resistor, 10R0, 1/20W, 1%, -50 to +155 C, EIA0201, EIA(M)0603"                                      
R84        ""                       TopLayer    RESC1005X33N               4858.268      2273.622      180      "Resistor, 10R0, 1/20W, 1%, -50 to +155 C, EIA0201, EIA(M)0603"                                      
R83        ""                       TopLayer    RESC1005X33N               4858.268      2234.252      180      "Resistor, 10R0, 1/20W, 1%, -50 to +155 C, EIA0201, EIA(M)0603"                                      
R82        ""                       TopLayer    RESC1005X33N               1094.488      1251.968      90       "Resistor, 5k10, 1/16W, 1%, -50 to +155 C, EIA0402, EIA(M)1005"                                      
R81        ""                       TopLayer    RESC1005X33N               1094.488      1338.583      90       "Resistor, 27k0, 1/16W, 1%, -50 to +155 C, EIA0402, EIA(M)1005"                                      
R80        ""                       TopLayer    RESC1005X33N               1141.732      1421.260      90       "Resistor, 4k99, 1/16W, 1%, -50 to +155 C, EIA0402, EIA(M)1005"                                      
R79        ""                       TopLayer    RESC1005X33N               1192.913      1421.260      90       "Resistor, 1k00, 1/16W, 1%, -55 to +155 C, EIA0402"                                                  
L11        INDUCTOR_CORE_TYPE1      TopLayer    INDC2012X85N               3960.630      2771.653      90       "Ferrite chip, 220 Ohm @ 100MHz, 2000mA, 25%, -55 to +125 C, 0805"                                   
L10        INDUCTOR_TYPE1           TopLayer    INDM300300X150N            1303.150      1421.260      360      "Inductor, shielded, 48mOhm, 1uH, 2.35A, 30%, -40 to +125 C"                                         
J5         QTH-090-01-L-D-A         BottomLayer QTH-090-01-L-D-A           3100.000      3800.000      360      "Connector Header HS .5mm 180 pin DL AU"                                                             
J4         QTH-090-01-L-D-A         BottomLayer QTH-090-01-L-D-A           3100.000      1200.000      360      "Connector Header HS .5mm 180 pin DL AU"                                                             
C233       CAPACITOR_NP_TYPE1       TopLayer    CAPC1005X33N               4279.528      1433.071      270      "Capacitor ceramic, C0G (NP0), 100pF, 50V, 5%, -55 to +125 C, EIA0402"                               
C232       CAPACITOR_NP_TYPE1       TopLayer    CAPC1005X33N               4232.283      1433.071      270      "Capacitor ceramic, C0G (NP0), 100pF, 50V, 5%, -55 to +125 C, EIA0402"                               
C231       CAPACITOR_NP_TYPE1       TopLayer    CAPC1005X33N               4220.472      1897.638      90       "Capacitor ceramic, C0G (NP0), 100pF, 50V, 5%, -55 to +125 C, EIA0402"                               
C230       CAPACITOR_NP_TYPE1       TopLayer    CAPC1005X33N               4267.717      1897.638      90       "Capacitor ceramic, C0G (NP0), 100pF, 50V, 5%, -55 to +125 C, EIA0402"                               
C229       CAPACITOR_NP_TYPE1       TopLayer    CAPC1005X33N               4314.961      1897.638      90       "Capacitor ceramic, C0G (NP0), 100pF, 50V, 5%, -55 to +125 C, EIA0402"                               
C228       CAPACITOR_NP_TYPE1       TopLayer    CAPC1005X33N               4362.205      1897.638      90       "Capacitor ceramic, C0G (NP0), 100pF, 50V, 5%, -55 to +125 C, EIA0402"                               
C227       CAPACITOR_NP_TYPE1       TopLayer    CAPC1005X33N               4409.449      1897.638      90       "Capacitor ceramic, C0G (NP0), 100pF, 50V, 5%, -55 to +125 C, EIA0402"                               
C226       CAPACITOR_NP_TYPE1       TopLayer    CAPC1005X33N               4456.693      1897.638      90       "Capacitor ceramic, C0G (NP0), 100pF, 50V, 5%, -55 to +125 C, EIA0402"                               
C225       CAPACITOR_NP_TYPE1       TopLayer    CAPC1005X33N               4433.071      1433.071      270      "Capacitor ceramic, C0G (NP0), 100pF, 50V, 5%, -55 to +125 C, EIA0402"                               
C224       CAPACITOR_NP_TYPE1       TopLayer    CAPC1005X33N               4385.827      1433.071      270      "Capacitor ceramic, C0G (NP0), 100pF, 50V, 5%, -55 to +125 C, EIA0402"                               
C223       CAPACITOR_NP_TYPE1       TopLayer    CAPC0603X33N               4767.717      1978.347      180      "Capacitor ceramic, X5R, 1000pF, 25V, 10%, -55 to +85 C, EIA0201"                                    
C222       CAPACITOR_NP_TYPE1       TopLayer    CAPC0603X33N               4767.717      1938.976      180      "Capacitor ceramic, X5R, 1000pF, 25V, 10%, -55 to +85 C, EIA0201"                                    
