event_type,message,timestamp,file_path,run_number
warning,"   * Warning - System Type setting does not match detected configuration: System: HPB-5C, Detected: HPB-5B",2025-12-18 12:41:43,C:\Users\isaac\Downloads\OneDrive_2026-01-09\For Isaac\extracted_logs_sept24_dec25\extracted_logs_sept24_dec25\B1822_Cyprus\ACT\act1_228.dat,228
error,    RealTime DUT Error Identification disabled.,2025-12-18 12:42:16,C:\Users\isaac\Downloads\OneDrive_2026-01-09\For Isaac\extracted_logs_sept24_dec25\extracted_logs_sept24_dec25\B1822_Cyprus\ACT\act1_228.dat,228
vector_start,Vector Start Time:       Thu Dec 18 12:42:16 2025,2025-12-18 12:42:16,C:\Users\isaac\Downloads\OneDrive_2026-01-09\For Isaac\extracted_logs_sept24_dec25\extracted_logs_sept24_dec25\B1822_Cyprus\ACT\act1_228.dat,228
vector_end,Vector End Time (approx): Wed Jan  7 12:42:16 2026,2025-12-18 12:42:16,C:\Users\isaac\Downloads\OneDrive_2026-01-09\For Isaac\extracted_logs_sept24_dec25\extracted_logs_sept24_dec25\B1822_Cyprus\ACT\act1_228.dat,228
warning,"   * Warning - System Type setting does not match detected configuration: System: HPB-5C, Detected: HPB-5B",2025-12-22 15:42:20,C:\Users\isaac\Downloads\OneDrive_2026-01-09\For Isaac\extracted_logs_sept24_dec25\extracted_logs_sept24_dec25\B1822_Cyprus\ACT\act1_229.dat,229
error,    RealTime DUT Error Identification disabled.,2025-12-22 15:46:07,C:\Users\isaac\Downloads\OneDrive_2026-01-09\For Isaac\extracted_logs_sept24_dec25\extracted_logs_sept24_dec25\B1822_Cyprus\ACT\act1_229.dat,229
vector_start,Vector Start Time:       Mon Dec 22 15:46:07 2025,2025-12-22 15:46:07,C:\Users\isaac\Downloads\OneDrive_2026-01-09\For Isaac\extracted_logs_sept24_dec25\extracted_logs_sept24_dec25\B1822_Cyprus\ACT\act1_229.dat,229
vector_end,Vector End Time (approx): Sun Jan 11 15:46:07 2026,2025-12-22 15:46:07,C:\Users\isaac\Downloads\OneDrive_2026-01-09\For Isaac\extracted_logs_sept24_dec25\extracted_logs_sept24_dec25\B1822_Cyprus\ACT\act1_229.dat,229
warning,"   * Warning - System Type setting does not match detected configuration: System: HPB-5C, Detected: HPB-5B",2025-12-22 15:48:18,C:\Users\isaac\Downloads\OneDrive_2026-01-09\For Isaac\extracted_logs_sept24_dec25\extracted_logs_sept24_dec25\B1822_Cyprus\ACT\act1_230.dat,230
error,    RealTime DUT Error Identification disabled.,2025-12-22 15:48:56,C:\Users\isaac\Downloads\OneDrive_2026-01-09\For Isaac\extracted_logs_sept24_dec25\extracted_logs_sept24_dec25\B1822_Cyprus\ACT\act1_230.dat,230
